District ,Zn %,Fe%,Cu %,Mn %,B %,S %
Tinsukia,99.93,99.9,99.97,89.28,0.77,99.9
Udalguri,85.04,99.95,99.88,99.12,2.42,98.74
Araria,87.7,89.78,90.04,89.83,0.02,35.91
Arwal,69.61,77.58,78.21,77.69,0.12,3.92
Aurangabad,98.48,98.59,99,98.54,0.43,0.37
Banka,0.09,0.12,0.12,0.09,0.15,0.03
Begusarai,86.9,86.13,87.39,87.07,0.03,23.12
Bhagalpur,0.15,0,0.17,0.16,0.16,0.16
Bhojpur,95.72,93.84,99.26,97.19,1.79,2.25
Buxar,0,0.04,0.07,0.07,0.07,0.07
Darbhanga,96.83,97.1,98.13,95.52,2.8,19.4
Gaya,99.71,99.51,99.75,99.65,2.28,2.86
Gopalganj,58.95,94.74,100,96.84,64.21,84.21
Jamui,95.22,88.07,99.28,98.27,0.85,0.21
Jehanabad,91.22,97.13,99.18,96.17,2.68,0.03
Kaimur (Bhabua),50,50,100,100,0,50
Katihar,94.15,92.85,94.45,94,0.3,5.18
Khagaria,34.38,32.81,96.88,35.09,91.07,39.29
Kishanganj,69.11,99.59,95.93,83.27,54.07,11.79
Lakhisarai,3.04,4.22,6.39,6.94,3.12,7.04
Madhepura,26.42,53.34,55.18,53.72,0.12,8.44
Madhubani,96.86,92.36,98.37,94.68,7.96,14.22
Munger,6.43,5.85,6.45,6.43,0.03,0.03
Muzaffarpur,83.3,95.18,99.34,92.08,0.15,0.21
Nalanda,17.52,23.06,31.45,18.84,6.11,24.58
Nawada,97.25,98.45,99.66,99.38,0.41,0.52
Pashchim Champaran,66,80.76,81.41,72.56,0.37,0.16
Patna,83.1,87.06,94.84,85.05,4.08,5.63
Purbi Champaran,7.11,8.13,8.91,7.72,0.54,6.46
Purnia,35.58,97.87,98.07,83.59,0.84,0.63
Rohtas,1.05,2.19,2.34,2.2,1.86,1.62
Saharsa,0.13,0.32,0.34,0.28,0.18,5.96
Samastipur,3.67,4.28,4.34,4.26,2.23,24.84
Saran,93.31,94.77,98.84,99.71,74.13,94.19
Sheikhpura,0.25,0.27,0.5,0.43,0.21,0.14
Sheohar,0.11,0.23,0,0.11,0.23,0.11
Sitamarhi,98.35,99.85,99.9,99.9,0.83,0.93
Siwan,34.69,53.06,97.96,63.83,57.14,91.84
Supaul,53.92,49.26,98.28,61.1,67.89,88.48
Vaishali,0.11,0.12,0.3,0.17,0.18,0.27
Balod,38.63,96.84,99.18,97.14,52.95,44.16
Baloda Bazar,31.23,78.04,99.61,96.29,49.84,89.06
Balrampur,88.95,98.74,99.88,97.88,82.22,96.2
Bastar,36.75,90.97,92.5,95.56,21.93,18.83
Bemetara,93.23,91.06,99.9,98.57,62.25,36.95
Bijapur,97.25,96.47,98.79,90.82,88.09,94.71
Bilaspur,74.54,96.48,98.45,93.32,86.97,88.01
Dantewada,39.61,89.64,92.59,95.23,88.53,47.49
Dhamtari,64.33,98.73,99.75,99.32,69.54,26.57
Durg,68.84,84.13,99.58,97.55,63.75,54.74
Gariyaband,53.4,89.19,94.29,95.76,80.07,55.91
Janjgir-Champa,39.6,82.05,95.02,94.06,48.95,88.32
Jashpur,31.08,64.91,93.67,91.81,74.86,39.35
KABIRDHAM,74.1,95.05,99.22,95.23,99.35,18.39
Kanker,12.1,98.47,99.09,99.21,57.79,95.51
Kondagaon,32.36,80.06,59.83,85.38,39.43,88.4
Korba,16.74,87.46,96.15,92.08,84.69,38.97
Korea,76.44,98.07,95.98,98.87,95.73,58.62
Mahasamund,77.75,98.64,99.74,99.7,94.72,60.79
Mungeli,75.27,83.78,98.42,98.03,95.78,74.73
Narayanpur,54.34,91.47,90.01,94.74,66.24,90.13
Raigarh,67.77,99.22,98.38,98.72,97.08,35.89
Raipur,65.03,98.28,99.73,99.71,78.16,83.21
Rajnandgaon,52.85,77,90.06,97.27,51.48,75.2
Sukma,7.7,68.53,76.32,96.92,8.42,7.08
Surajpur,72.95,98.58,99.57,99.76,95.55,99.07
Surguja,50.76,82.93,95.11,99.05,72.22,83.18
North Goa,65.2,99.51,100,94.79,29.02,57.75
South Goa,85.02,99.66,97.98,98.98,45.9,20.9
Ahmadabad,72.52,82.68,95.38,94.01,40.49,86.34
Amreli,62.5,55.13,88.42,88.35,38.23,83.34
Anand,63.79,72.95,98.15,98.04,59.01,87.92
Aravalli,74.36,78.64,97.76,98.59,67,72.19
Banas Kantha,83.48,67.8,95.33,99.7,68.68,86.04
Bharuch,62.44,81.53,93.67,99.64,63.43,71.56
Bhavnagar,51.38,57.63,91.79,96.95,30.24,70.07
Botad,14.98,90.56,95.68,98.81,36.05,98.14
Chhotaudepur,78.63,94.98,96.66,99.27,72.01,78.75
Dahod,47.54,73.8,99.31,95.87,76.24,60.87
Dang,97.32,99.47,97.86,100,86.35,64.12
Devbhumidwarka,80.37,94.15,97.22,95.82,39.38,93.75
Gandhinagar,91.68,93.95,98.05,99.86,94.66,61
Girsomnath,38.62,89.98,80.32,80.85,26.04,91.23
Jamnagar,70.47,90.2,98.82,93.64,40.45,85.63
Junagadh,30.26,61.46,77.23,74.79,2.1,99.58
Kachchh,66.26,44.82,86.88,75.77,1.66,97.09
Kheda,65.87,81.8,94.29,99.74,61.5,40.66
Mahesana,95.36,62.78,99.04,99.54,24.49,98.45
Mahisagar,56.48,95.8,98.79,99.88,90.33,55.8
Morbi,92.07,70.59,91.52,99.97,13.14,49.62
Narmada,66.12,93.77,99.72,99.75,88.52,85.75
Navsari,80.39,90.45,96.39,98.72,77.48,69.29
Panch Mahals,45.49,81.67,84.29,99.76,78.73,19.63
Patan,90.69,63.28,98.07,99.45,79.44,67.87
Porbandar,44.1,29.26,90.14,57.15,34.19,74.87
Rajkot,52.45,64.98,94.49,98.94,10.34,67.24
Sabar Kantha,82.52,90.19,90.92,99.61,59.09,88.17
Surat,81.17,85.54,98.07,99.59,41.85,89.64
Surendranagar,82.03,56.06,92.83,96.52,19.64,89.99
Tapi,75.53,85.34,95.91,100,55.94,85.13
Vadodara,66.5,91.05,96.94,99.21,92.01,80.05
Valsad,57.58,97.85,92.41,99.13,73.1,87.79
Ambala,72.88,77.74,93.46,30.2,65.71,76.54
Bhiwani,45.72,43.1,93,44.05,56.88,89.85
Faridabad,98.14,97.29,100,98.96,100,99.91
Fatehabad,66.22,32.78,94.65,37.76,68.55,89.88
Gurgaon,78.53,78.73,94.55,74.95,36.91,94.29
Hisar,69.12,43.55,97.54,70.92,70.44,97.31
Jhajjar,59.61,60.73,93.92,60.81,40.16,90.49
Jind,72.28,82.34,98.8,67.59,42.83,91.78
Kaithal,61.93,58.42,98.94,26.62,52,88.85
Karnal,89.55,85.35,98.13,72.54,59.71,95.61
Kurukshetra,86.17,85.56,98.45,59.29,65.96,91.62
Mahendragarh,68.6,32.14,95.04,82.33,47.59,83.19
NUH,79.35,73.38,93.67,75.53,93.94,88.05
Palwal,59.97,59.86,96.86,50.48,54.75,88.34
Panchkula,93.87,95.04,99.23,80.65,34.54,97.1
Panipat,69.93,83.33,98.96,65.86,66.15,96.68
Rewari,78.99,71.13,94.85,72.25,57.65,96.02
Rohtak,43.19,62.44,93.61,57.42,47.85,84.81
Sirsa,69.43,41.44,94.54,54.04,69.78,94.47
Sonipat,82.77,37.68,98.02,35.38,34.42,98.74
Yamunanagar,91.1,92.92,99,82.72,82.27,94.07
Bilaspur,67.45,92.95,99.71,84.7,99.83,99.77
Chamba,96.97,87.88,100,100,100,66.67
Hamirpur,92.8,86.04,90.88,89.18,96.23,87.97
Kangra,98.35,89.1,98.51,97.77,95.98,75.26
Kinnaur,93.49,71.97,99.89,64.48,100,99.23
Kullu,87.49,84.62,97.37,79.66,90.31,91.07
Lahul And Spiti,92.09,88.79,99.06,75.76,97,91.71
Mandi,83.11,99.64,98.42,75.93,17.5,98.3
Shimla,95.02,97.16,98.23,89.73,72.73,37.5
Sirmaur,94.9,95.15,96.93,80.02,100,54.55
Solan,75.69,94.88,96.61,47.35,77.78,99.81
Una,88.79,68.01,91.46,42.69,100,100
Anantnag,24.73,88.43,58.17,60.05,82.35,44.83
Badgam,15.94,34.75,42.15,31.3,28.57,47.62
Bandipora,96.94,53.9,99.01,77.29,80,80
Baramulla,86.95,97.71,99.67,71.16,10.22,80.24
Doda,31.75,86.21,92.88,81.78,66.67,93.93
Ganderbal,68.36,50.42,93.71,47.28,69.3,2.71
Jammu,91.96,97.78,97.45,54.03,76.19,83.6
Kathua,88.11,78.63,93.87,88.95,62.26,79.09
Kishtwar,74.2,46.32,79.12,52.56,100,86.23
Kulgam,58.93,96.41,98.21,86.16,100,100
Kupwara,53.32,31.41,71.9,22.19,62.73,77.08
Poonch,92.74,81.33,93.53,53.89,0.37,83.23
Pulwama,37.58,29.67,41.47,15.36,99.84,4.72
Rajauri,82.93,5.85,38.61,39.6,93.83,88.24
Ramban,58.69,62.61,74.5,36.95,71.43,41.97
Reasi,64.74,65.82,71.83,62.79,22.82,19.63
Samba,48.18,82.1,86.32,87.45,72.73,46.07
Shopian,65.88,98.72,97.01,89.94,93.7,94.93
Srinagar,75.98,74.73,98.74,43.01,64.29,33.33
Udhampur,58.96,59.84,71.8,59.94,6.5,57.05
Bokaro,74.39,96.4,97.84,98.74,48.27,79.44
Chatra,44.9,96.63,76.61,97.58,85.6,65.34
Deoghar,75,100,62.5,100,37.5,100
Dhanbad,96.34,98.38,99.51,99.35,92.8,94.55
Dumka,97.02,98.01,100,97.9,53.63,99.75
East Singhbum,60.4,94.39,87.45,86.58,51.99,86.51
Garhwa,57.22,56.33,90.44,83.07,64.69,72.68
Giridih,55.83,94.21,84.46,94.65,93.63,25.28
Godda,97.19,98.56,99.01,85.86,93.4,89.53
Gumla,84.1,96.9,97.17,93.77,69.01,70.85
Hazaribagh,100,100,100,100,100,81.98
Jamtara,57.43,96.26,98.46,98.93,57.69,82.54
Khunti,84.78,97.34,96.89,99.67,61.45,85.11
Koderma,61.88,96.17,100,99.62,75.48,91.2
Latehar,96.55,100,100,100,95.65,48.22
Lohardaga,80.02,85.74,89.05,76.27,80.09,48.69
Pakur,95.19,89.29,99.89,92.36,47.47,86.32
Palamu,87.82,98.78,97.13,54.44,91.23,93.67
Ranchi,71.99,98.81,93.51,99.77,70.3,78.51
Sahebganj,100,100,100,100,100,100
Saraikela Kharsawan,75.09,82.11,95.46,75.19,64.6,63.68
Simdega,60.32,99.43,99.58,99.61,66.42,99.55
West Singhbhum,40.96,21.63,70.73,48.3,86.54,23.98
Bagalkot,20.38,1.73,98.15,77.13,61.21,88.79
BALLARI,39.28,62.04,93.94,91.55,62.07,89.42
Bangalore,33.07,39.84,82.56,85.25,12,30.49
BELAGAVI,37.52,22.77,95.97,60.9,14.94,31.95
Bengaluru Urban,38.86,40.15,86.26,88.01,12.03,27.68
Bidar,50.05,30.85,95.26,80.29,23.55,4.02
Bijapur,19.36,6.96,93.39,77.45,59.04,10.37
Chamarajanagar,20,22.34,91.43,85.91,84.91,78.77
Chikballapur,32.65,77.13,85.89,98.87,58.08,86.22
Chikmagalur,46.47,82.4,98.01,98.01,21.41,67
Chitradurga,50.43,17.82,63.93,24.31,38.34,75.84
Dakshin Kannad,23.55,74.88,68.32,52.02,31.75,85.33
Davangere,53.67,69.64,98.68,98.92,26.12,83.16
Dharwad,7.71,0.39,89.42,68.77,9.73,41.34
Gadag,28.76,1.48,98.88,82.99,96.63,25.27
Gulbarga,22.72,10.47,98.27,86.13,49.14,85.52
Hassan,22.52,45.4,77.38,78.35,58.88,90.69
Haveri,9.47,58.32,96.36,98.41,3.2,14.6
Kodagu,66.17,88.91,94.47,90.93,58.64,85.28
Kolar,59.91,84.35,97.63,98.38,54.92,74.53
Koppal,32.54,81.08,96.58,96.4,92.98,73.81
Mandya,66.18,83.66,96.03,98.12,28.35,51.6
Mysore,52.25,42.12,93.5,79.1,63.11,94.37
Raichur,93.32,67.84,99.83,94.38,91.76,78.02
Ramanagara,35.82,63.97,87.56,88.8,0.82,52.94
Shimoga,55.33,95.59,99.12,98.58,91.12,67.68
Tumkur,22.33,51.81,93.99,97.54,31.47,57.37
Udupi,63.56,95.84,95.04,71.3,23.69,47.79
Uttar Kannad,53.36,98.49,95.74,91.97,5.15,65.55
Yadgir,28.41,22.28,95.13,87.06,54.47,87.23
Alappuzha,98.41,99.03,98.72,92.51,31.26,78.07
Ernakulam,95.07,98.08,98.75,88.73,45.41,59.15
Idukki,93.52,97.3,99.18,93.89,78.42,83.31
Kannur,94.01,99.35,98.61,97.62,37.81,48.04
Kasaragod,74.08,86.1,83.88,84.76,10.21,21.08
Kollam,95,99.38,98.78,96.77,68.7,75.94
Kottayam,95.18,96.04,99.41,96.59,54.12,73.96
Kozhikode,86.9,98.37,91.15,94.68,42.2,42.04
Malappuram,97.98,99.87,99.94,99.51,79.74,73.59
Palakkad,95.61,99.36,99.94,99.06,28.81,63.32
Pathanamthitta,96.94,96.58,64.17,96.38,43.51,14.06
Thiruvananthapuram,91.21,97.07,94.3,94.48,50.94,70.38
Thrissur,93.46,98.62,97.98,97.2,74.74,84.18
Wayanad,89.37,98.21,99.39,98.04,22.94,8.41
Kargil,76.29,76.66,94.18,66.97,36.84,19.14
Leh,54.56,74.44,93.76,68.44,61.95,88.94
Agar Malwa,40.81,62.47,81.13,79.29,58.42,52.13
Alirajpur,43.17,48.36,81.26,66.3,65.82,55.67
Anuppur,52.86,96.04,89.58,98.95,43.88,94.64
Ashoknagar,52.47,71.15,81.4,98.64,43.62,98.04
Balaghat,83.63,99.21,98.43,99.62,89.32,96.97
Barwani,84.7,54.12,98.26,68.89,87.44,74.4
Betul,19.41,86.57,95.22,99.53,60.08,44.52
Bhind,8.27,91.87,97.87,98.25,58.36,55.15
Bhopal,77.06,78.65,98.12,97.18,94.53,89.02
Burhanpur,45.15,36.84,87.5,72.4,61.57,51.24
Chhatarpur,54.96,32.61,91.89,50.74,64.88,74.74
Chhindwara,68.93,70.38,97.36,89.89,85.94,83.25
Damoh,78.8,77.32,94.15,88.45,76.7,83.85
Datia,59.76,58.89,93.09,84.48,77.83,92.99
Dewas,49.56,84.77,99.53,97.61,65.91,79.7
Dhar,59.3,64.69,87.9,63.6,71.23,55.21
Dindori,41.35,98.31,99.97,98.61,96.14,89.4
East Nimar,68.86,94.72,99.94,98.78,82.26,90.72
Guna,34.16,85.41,98.74,77.06,77.97,91.13
Gwalior,48.4,69.77,93.71,93.38,70.84,86.39
Harda,95.81,98.4,99.54,99.75,96.11,95.68
Hoshangabad,54.42,85.04,95.67,97.62,72.92,62.58
Indore,69.1,78.75,96.84,95.21,88.41,84.17
Jabalpur,76.48,77.05,96.57,90.17,98.13,84.13
Jhabua,75.81,95.55,99.65,99.51,80.52,83.97
Katni,50.6,95.45,95.58,95.82,70.62,92.06
Khargone,58.98,25.01,85.83,74.25,82.42,78.17
Mandla,33.31,97.69,90.32,93.47,56.35,91.13
Mandsaur,74.69,70.26,95.36,74.01,87.15,87.82
Morena,60.12,92.51,95.31,98.7,83.94,57.19
Narsinghpur,62.81,63.2,96.58,89,79.96,73.47
Neemuch,19.36,76.26,99.98,99.91,24.51,0.49
Panna,82,98.52,98.96,99.51,66.92,94.79
Raisen,65.88,67.97,93.97,79.09,80.93,56.77
Rajgarh,21.6,90.57,78.41,94.79,7.93,73.68
Ratlam,97.67,97.58,99.17,98.76,99,98.93
Rewa,55.5,55.55,91.9,85.43,94.12,90.64
Sagar,74.78,90.65,99.36,94.99,83.77,79.82
Satna,29.58,92.84,88.66,99.19,39.77,61.47
Sehore,82.25,69.36,98.94,92.3,89.1,65.03
Seoni,41.47,82.27,96.08,90.18,50.34,84.97
Shahdol,60.46,98.42,96.39,99.05,85.06,96.13
Shajapur,47.1,63.44,76.94,93.9,57.66,70.49
Sheopur,51.71,89.87,91.61,99.55,68.76,74.63
Shivpuri,68.31,87.91,87.93,70.96,62.79,66.39
Sidhi,42.04,83.07,70.16,94.17,56.53,41.68
Singrauli,86.31,60.23,95.59,71.22,59.83,32.36
Tikamgarh,70.33,99.2,96.69,99.6,73.24,99.77
Ujjain,36.56,53.44,91.16,95.28,62.21,61.2
Umaria,49.74,71.37,98.26,95.05,97.89,87.28
Vidisha,67.67,87.68,97.2,89.91,88.69,68.09
Ahmednagar,46.99,22.65,97.92,80.07,52.12,58.56
Akola,29.45,27.58,99.89,99.82,35.21,3.93
Amravati,59.04,18.23,98.57,94.9,15.93,16.47
Aurangabad,28.16,17.04,98.49,86.72,41.61,93.8
Beed,55.96,22.15,98.55,96.51,73.17,57.28
Bhandara,23.79,39.56,99.39,92.65,58.3,43.52
Buldhana,46.29,23.54,99.38,98.08,75.63,58.6
Chandrapur,27.24,28.1,96.28,92.24,80.66,28.07
Dhule,80.35,55.15,99.98,99.58,76.1,64.32
Gadchiroli,34.09,45.02,96.75,92.77,61.39,40.65
Gondia,22.3,28,98.6,94.27,87.53,23.01
Hingoli,59.06,68.61,99.62,97.38,54.25,16.3
Jalgaon,53.25,53.48,94.56,91.08,74.57,39.12
Jalna,50.44,9.05,98.12,94.41,37.09,10.38
Kolhapur,70.47,60.66,98.55,90.92,56.45,61.83
Latur,41.42,32.68,99.8,98.37,35.87,9.62
Nagpur,16.32,6.76,98.86,90.73,69.6,19.3
Nanded,63.63,43.8,96.26,87.38,35.31,72.09
Nandurbar,67.71,77.28,99.95,98.67,43.33,42.09
Nashik,68.52,34.77,99.35,90.18,37.96,69.8
Osmanabad,26.05,28.75,98.43,95.89,49.82,12.17
Palghar,60.86,85.76,99.98,99.88,29.93,45.1
Parbhani,51.9,50.26,82.01,96.97,45.24,17.72
Pune,46.57,19.8,96.17,64.96,49.78,35.41
Raigad,81.35,71.76,99.91,99.03,30.76,57.27
Ratnagiri,80.2,97.37,98.72,99.76,73.08,84.61
Sangli,54.88,54.98,95.81,87.42,76.54,70.21
Satara,38.63,40.48,92.32,59.13,67.24,55.89
Sindhudurg,66.35,97.89,97.77,99,34.02,43.65
Solapur,35.88,11.51,93.06,53.14,41.05,35.56
Thane,88.76,97.09,99.75,98.86,19.88,85.23
Wardha,16.63,5.98,96.9,82.21,42.74,30.55
Washim,23.71,17.1,99.86,98.61,86.48,17.59
Yavatmal,38.44,46.54,99.07,94.6,56.17,53.81
Bishnupur,68.72,92.82,82.56,93.85,72.31,41.54
Chandel,25,100,75,100,100,75
Churachandpur,0,100,33.33,100,100,33.33
Imphal East,57.31,96.44,66.8,96.44,25.69,47.83
Imphal West,51.55,98.97,88.66,98.97,53.61,24.74
Senapati,,,,,,
Tamenglong,,,,,,
Thoubal,82.72,98.95,80.63,99.48,58.64,65.97
Ukhrul,38.33,100,71.67,100,75,36.67
East Garo Hills,,,,,,100
East Jaintia Hills,,,,,,100
East Khasi Hills,71.91,81.65,90.68,57.9,87.5,23.53
North Garo Hills,,,,,,100
Ri Bhoi,64,93.94,89.16,80.59,50,0
South Garo Hills,0,0,0,0,0,0
South West Garo Hills,,,,,,
South West Khasi Hills,61.29,98.16,87.88,61.9,100,100
West Garo Hills,,,,,,100
West Jaintia Hills,84.48,77.59,87.93,96.55,77.59,45.16
West Khasi Hills,51.34,96.68,78.63,59,100,0
Aizawl,,,,,,100
Champhai,76.92,100,100,100,100,37.5
Kolasib,,,,,,
Lawngtlai,,,,,,
Lunglei,100,100,,,100,
Mamit,,,,,,
Saiha,,,,,,
Serchhip,,,,,,100
Dimapur,85.95,100,99.65,91.29,97.12,98.28
Kiphire,27.49,100,80.58,94.5,,99.83
Kohima,49.16,99.44,76.72,86.18,,94.26
Longleng,98.63,99.66,99.83,99.32,40,99.32
Mokokchung,63.83,100,95.69,95.67,100,100
Mon,68.38,99.93,99.86,93.48,0,100
Peren,87.9,100,98.19,95.4,100,100
Phek,60.28,99.39,99.09,96.01,100,99.9
Tuensang,42.52,99.04,65.91,87.52,,89.83
Wokha,64.77,100,99.87,89.77,98.37,93.06
Zunheboto,62.64,100,100,97.34,100,100
Anugul,74.64,100,100,100,32.83,75.8
Balangir,,,,,,85.71
Baleshwar,57.04,,,,56.01,23.39
Bargarh,61.71,97.82,98.77,95.31,35.17,37.38
Bhadrak,100,80,100,100,80,92.86
Boudh,100,,,,,100
Cuttack,69.46,25,50,0,50.85,0.84
Deogarh,45.63,100,100,100,4.68,75
Dhenkanal,92.86,,,,19.35,100
Gajapati,100,100,100,100,100,100
Ganjam,37.5,0,,,41.87,79.28
Jagatsinghapur,66.2,100,100,75,22.02,54.21
Jajapur,80.97,100,100,100,48.45,42.22
Jharsuguda,30.92,0,,,71.35,29.88
Kalahandi,55.98,54.05,90.63,84.38,1.1,44.46
Kandhamal,0.08,0,0.08,0.08,0.08,0.9
Kendrapara,84.4,0,,,33.54,96.33
Kendujhar,6.49,73.17,15.38,15.38,5.59,1.79
Khordha,83.69,75,100,100,68.32,96.62
Koraput,28.78,78.57,100,100,60.83,74.72
Malkangiri,,,,,,100
Mayurbhanj,11.39,100,100,100,7.27,1.11
Nabarangpur,8.33,7.69,16.67,8.33,16.67,47.62
Nayagarh,63.49,0,100,100,35.31,51.12
Nuapada,8.33,0,0,0,0,0
Puri,76.1,97.45,90,90.91,47.68,90.84
Rayagada,67.11,97.56,92.59,83.95,85.4,72.8
Sambalpur,40.83,87.5,100,100,16.7,38.44
Sonepur,100,100,100,100,50,100
Sundargarh,100,100,100,100,0,90.91
Karaikal,86.41,97.99,100,98.32,100,
Mahe,89.43,93.67,95.18,98.19,0.99,
Pondicherry,94.98,84.98,99.16,98.05,0.29,100
Amritsar,74.27,88.91,99.85,45.83,0,82.91
Barnala,90.36,87.6,99.23,60.37,61.6,88.02
Bathinda,88.98,75.44,97.27,62.65,81.82,93.47
Faridkot,90.06,86.95,98.82,54.94,,95.74
Fatehgarh Sahib,92.56,92.27,99.35,54.64,0,88
Fazilka,80.79,82.83,99.81,54,50,96.69
Firozepur,80.98,89.77,99.78,46.32,100,74.74
Gurdaspur,92.26,89.82,99.4,51.8,100,82.77
Hoshiarpur,83.06,90.35,99.55,53.45,0,87.12
Jalandhar,89.89,91.37,98.97,64.99,3.8,78.65
Kapurthala,88.55,92.5,99.72,33.82,,86.68
Ludhiana,85.4,90.82,99.41,54.28,100,76.1
Mansa,91.44,90.46,99.82,72.66,,88.18
Moga,90.89,94.05,99.98,43.64,,87.4
Muktsar,79.25,84.43,99.32,32.54,,93.97
Nawanshahr,88.94,96.73,99.95,76.63,100,70.99
Pathankot,95.27,96.75,99.57,70.49,96.1,87.53
Patiala,91.25,91.04,99.88,66.96,0.99,83.34
Rupnagar,93.95,95.7,98.96,54.3,100,91.6
S.A.S Nagar,80.51,82.81,99.39,56.36,,82.71
Sangrur,90.91,89.5,99.85,60.88,3.29,88.62
Tarn Taran,85,92.3,99.75,46.06,100,82.79
Ajmer,59.16,65.75,98.01,91.35,0,79.15
Alwar,51.69,43.75,97.71,95.97,,89.65
Banswara,29.26,40.46,87.08,90.44,,98.42
Baran,79.39,81.21,99.41,94.36,,44.11
Barmer,27.94,25.77,92.8,91.48,,78.67
Bharatpur,37.93,78.29,96.47,99.12,,93.84
Bhilwara,60.02,52.08,96.66,86.89,,97.61
Bikaner,29.09,6.35,67.84,41.62,,30.83
Bundi,72.42,61.01,99.45,96.02,,96.36
Chittorgarh,60.13,37.47,96.4,79.25,,94.78
Churu,4.38,0.86,93.82,81.17,,70.73
Dausa,64.41,64.43,92.27,86.21,,99.39
Dholpur,50.18,66.87,90.16,95.33,,90.14
Dungarpur,49.3,54.91,96.52,78.45,,94.73
Ganganagar,40.02,52.93,95.02,96.2,,59.17
Hanumangarh,63.15,52.65,95.3,85.3,,88.41
Jaipur,62.67,34.87,90.93,94.12,75,96.61
Jaisalmer,1.01,4.36,97.69,99.76,,0.04
Jalore,41.11,39.04,97.58,91.82,,93.98
Jhalawar,72.53,73.24,99.79,97.78,,86.4
Jhunjhunu,27.73,36.26,94.05,93.76,,86.11
Jodhpur,31.08,25.16,98.69,91.13,,99.23
Karauli,44.43,52.21,93.69,94.43,,76.39
Kota,81.56,83.86,97.04,90.56,,91.85
Nagaur,21.85,21.17,97.78,95.14,,66.17
